glassType,constraint,rating,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,2,,
Google,In-Air,2,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,2,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,2,,
Epson,In-Air,2,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,2,,
Google,In-Air,2,,
Google,In-Air,5,,
Google,In-Air,5,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,2,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,2,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,1,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,1,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,2,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,1,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,2,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,5,,
Google,In-Air,5,,
Google,In-Air,2,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,2,,
Epson,In-Air,5,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,2,,
Google,In-Air,5,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,2,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,2,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,2,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,2,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,2,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,2,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,2,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,2,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,2,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,2,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,2,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,2,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,2,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,2,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,2,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,2,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,2,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,2,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,1,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,2,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,2,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,1,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,2,,
Epson,In-Air,3,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,2,,
Google,In-Air,3,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,2,,
Epson,In-Air,5,,
Epson,In-Air,2,,
Epson,In-Air,4,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,5,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,3,,
Epson,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,2,,
Google,In-Air,5,,
Google,In-Air,2,,
Google,In-Air,4,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,5,,
Google,In-Air,3,,
Google,In-Air,4,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,3,,
Google,In-Air,4,,
